league,opp,opp2,result,conf,ROI,date,outcome
ligue-1,Rennes,Bordeaux,1,Low conf,+135,03.11.17,win
championship,Wolves,Fulham,12,Med conf,+25,03.11.17,win
bundesliga,Ein Frankfurt,Werder Bremen,1,Low conf,-20,03.11.17,win
primera-division,Espanol,Betis,>2.5,Med conf,+62,30.10.17,lose
primera-division,Las Palmas,La Coruna,X2,Med conf,+83,30.10.17,win
primeira-liga,Portimonense,Setubal,1X,Med conf,-1,30.10.17,win
serie-a,Verona,Inter,2,Med conf,-19,30.10.17,win
premier-league,Burnley,Newcastle,X2,Low conf,-54,30.10.17,lose
primera-division,Getafe,Sociedad,X2,Med conf,+62,29.10.17,lose
primera-division,Girona,Real Madrid,1,Med conf,+1053,29.10.17,win
primera-division,Eibar,Levante,1,Med conf,+27,29.10.17,lose
primera-division,Malaga,Celta,2,Low conf,+38,29.10.17,lose
primeira-liga,Pacos Ferreira,Estoril,12,High conf,+62,29.10.17,win
primeira-liga,Aves,Guimaraes,X2,High conf,+82,29.10.17,win
ligue-1,Lyon,Metz,1,Low conf,-102,29.10.17,win
ligue-1,Toulouse,St Etienne,>2.5,Med conf,+42,29.10.17,lose
ligue-1,Lille,Marseille,2,Low conf,+26,29.10.17,win
championship,Birmingham,Aston Villa,2,Med conf,+92,29.10.17,lose
bundesliga,Werder Bremen,Augsburg,1X,Med conf,+34,29.10.17,lose
bundesliga,Stuttgart,Freiburg,1,Med conf,+48,29.10.17,win
serie-a,Benevento,Lazio,2,Med conf,-31,29.10.17,win
serie-a,Crotone,Fiorentina,2,Med conf,+12,29.10.17,lose
serie-a,Napoli,Sassuolo,1,Med conf,-17,29.10.17,win
serie-a,Sampdoria,Chievo,1X,High conf,+49,29.10.17,win
serie-a,Spal,Genoa,X2,Low conf,-30,29.10.17,lose
serie-a,Udinese,Atalanta,X2,Low conf,-41,29.10.17,lose
serie-a,Torino,Cagliari,1,Med conf,+30,29.10.17,win
premier-league,Brighton,Southampton,<2.5,Low conf,-32,29.10.17,win
premier-league,Leicester,Everton,X2,Low conf,-0,29.10.17,lose
primera-division,Alaves,Valencia,X,Low conf,+94,28.10.17,lose
primera-division,Ath Madrid,Villarreal,2,Low conf,+475,28.10.17,lose
primera-division,Ath Bilbao,Barcelona,X2,Med conf,+9,28.10.17,win
primera-division,Sevilla,Leganes,X,Low conf,+85,28.10.17,lose
primeira-liga,Maritimo,Tondela,1X,Med conf,-8,28.10.17,win
primeira-liga,Belenenses,Moreirense,>1.5,High conf,+25,28.10.17,win
primeira-liga,Boavista,Porto,X2,High conf,+26,28.10.17,win
ligue-1,Bordeaux,Monaco,12,Med conf,+8,28.10.17,win
ligue-1,Caen,Troyes,1X,Low conf,-35,28.10.17,win
ligue-1,Dijon,Nantes,12,Med conf,+13,28.10.17,win
ligue-1,Guingamp,Amiens,1,Med conf,+22,28.10.17,lose
ligue-1,Montpellier,Rennes,1,Med conf,+73,28.10.17,lose
ligue-1,Strasbourg,Angers,1X,Low conf,-48,28.10.17,win
championship,Sheffield Weds,Barnsley,1X,High conf,+45,28.10.17,win
championship,Burton,Ipswich,X2,High conf,+73,28.10.17,win
championship,Cardiff,Millwall,1X,Med conf,-21,28.10.17,win
championship,Fulham,Bolton,1X,Low conf,-54,28.10.17,win
championship,Norwich,Derby,1X,High conf,+38,28.10.17,lose
championship,Preston,Brentford,1X,High conf,+47,28.10.17,lose
championship,QPR,Wolves,1X,High conf,+98,28.10.17,win
championship,Reading,Middlesbrough,1X,Med conf,+49,28.10.17,lose
championship,Sunderland,Bristol City,1X,Low conf,-21,28.10.17,lose
championship,Hull,Nott'm Forest,1X,Low conf,-14,28.10.17,lose
